Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
10,Exit short,2022-02-08 09:00,Trailing Stop,3059.12,0.3221,999.737201,13.4,1.34,0.99,23.89,2.39,-0.5,-0.05,-14.7,-7.35,0
10,Entry short,2022-02-08 09:00,Short Entry,3103.81,0.3221,999.737201,13.4,1.34,0.99,23.89,2.39,-0.5,-0.05,-14.7,-7.35,0
11,Exit short,2022-02-10 01:00,Trailing Stop,3187.52,0.3084,999.768036,15.75,1.57,0.99,26.23,2.62,-2.14,-0.21,1.04,0.52,1
11,Entry short,2022-02-09 21:00,Short Entry,3241.79,0.3084,999.768036,15.75,1.57,0.99,26.23,2.62,-2.14,-0.21,1.04,0.52,1
12,Exit short,2022-02-10 17:00,Take Profit,3108.75,0.3116,999.678236,30.01,3.00,0.98,30.49,3.05,-16.87,-1.69,31.05,15.53,1
12,Entry short,2022-02-10 13:00,Short Entry,3208.21,0.3116,999.678236,30.01,3.00,0.98,30.49,3.05,-16.87,-1.69,31.05,15.53,1
13,Exit long,2022-02-22 09:00,Take Profit,2667.41,0.3865,999.9528,29.99,3.00,1.02,30.5,3.05,-9.75,-0.97,61.04,30.52,0
13,Entry long,2022-02-22 09:00,Long Entry,2587.2,0.3865,999.9528,29.99,3.00,1.02,30.5,3.05,-9.75,-0.97,61.04,30.52,0
14,Exit long,2022-02-24 09:00,Stop Loss,2347.94,0.4177,999.731534,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,41.05,20.52,0
14,Entry long,2022-02-24 09:00,Long Entry,2393.42,0.4177,999.731534,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,41.05,20.52,0
15,Exit long,2022-03-06 13:00,Trailing Stop,2629.75,0.3808,999.973184,0.43,0.04,1,10.93,1.09,-9.6,-0.96,41.48,20.74,0
15,Entry long,2022-03-06 13:00,Long Entry,2625.98,0.3808,999.973184,0.43,0.04,1,10.93,1.09,-9.6,-0.96,41.48,20.74,0
16,Exit long,2022-03-07 21:00,Take Profit,2567.03,0.4016,999.919744,29.98,3.00,1.02,30.5,3.05,-5.11,-0.51,71.47,35.73,0
